Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM_002,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 11.02.39.310 AM,Total Frames in Take,920,Total Exported Frames,920,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007
,ID,"C3B30","C3B30","C3B30"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,-0.001846,0.008599,1.329255
1,0.004000,-0.001824,0.008622,1.329264
2,0.008000,-0.001879,0.008560,1.329246
3,0.012000,-0.001847,0.008596,1.329257
4,0.016000,-0.001817,0.008626,1.329282
5,0.020000,-0.001823,0.008618,1.329270
6,0.024000,-0.001827,0.008630,1.329259
7,0.028000,-0.001800,0.008658,1.329282
8,0.032000,-0.001821,0.008626,1.329263
9,0.036000,-0.001805,0.008654,1.329268
10,0.040000,-0.001825,0.008631,1.329261
11,0.044000,-0.001826,0.008628,1.329259
12,0.048000,-0.001833,0.008616,1.329262
13,0.052000,-0.001813,0.008624,1.329251
14,0.056000,-0.001790,0.008641,1.329253
15,0.060000,-0.001817,0.008602,1.329254
16,0.064000,-0.001859,0.008566,1.329267
17,0.068000,-0.001875,0.008570,1.329275
18,0.072000,-0.001841,0.008594,1.329271
19,0.076000,-0.001851,0.008565,1.329270
20,0.080000,-0.001793,0.008634,1.329281
21,0.084000,-0.001818,0.008607,1.329265
22,0.088000,-0.001816,0.008625,1.329275
23,0.092000,-0.001815,0.008625,1.329286
24,0.096000,-0.001811,0.008647,1.329280
25,0.100000,-0.001822,0.008622,1.329282
26,0.104000,-0.001845,0.008597,1.329280
27,0.108000,-0.001836,0.008609,1.329272
28,0.112000,-0.001821,0.008642,1.329269
29,0.116000,-0.001847,0.008607,1.329255
30,0.120000,-0.001822,0.008615,1.329268
31,0.124000,-0.001836,0.008600,1.329272
32,0.128000,-0.001835,0.008584,1.329243
33,0.132000,-0.001833,0.008601,1.329268
34,0.136000,-0.001837,0.008564,1.329268
35,0.140000,-0.001824,0.008597,1.329261
36,0.144000,-0.001797,0.008628,1.329260
37,0.148000,-0.001858,0.008600,1.329280
38,0.152000,-0.001811,0.008629,1.329263
39,0.156000,-0.001838,0.008633,1.329266
40,0.160000,-0.001801,0.008671,1.329274
41,0.164000,-0.001830,0.008637,1.329259
42,0.168000,-0.001799,0.008656,1.329267
43,0.172000,-0.001855,0.008596,1.329250
44,0.176000,-0.001840,0.008605,1.329267
45,0.180000,-0.001840,0.008585,1.329274
46,0.184000,-0.001861,0.008584,1.329253
47,0.188000,-0.001850,0.008592,1.329257
48,0.192000,-0.001848,0.008610,1.329270
49,0.196000,-0.001834,0.008616,1.329265
50,0.200000,-0.001847,0.008603,1.329276
51,0.204000,-0.001831,0.008637,1.329258
52,0.208000,-0.001845,0.008604,1.329274
53,0.212000,-0.001828,0.008630,1.329277
54,0.216000,-0.001823,0.008626,1.329264
55,0.220000,-0.001860,0.008564,1.329255
56,0.224000,-0.001841,0.008596,1.329275
57,0.228000,-0.001854,0.008601,1.329266
58,0.232000,-0.001842,0.008606,1.329271
59,0.236000,-0.001859,0.008589,1.329264
60,0.240000,-0.001817,0.008637,1.329280
61,0.244000,-0.001804,0.008650,1.329280
62,0.248000,-0.001843,0.008586,1.329267
63,0.252000,-0.001860,0.008586,1.329262
64,0.256000,-0.001837,0.008611,1.329272
65,0.260000,-0.001824,0.008623,1.329263
66,0.264000,-0.001850,0.008594,1.329266
67,0.268000,-0.001853,0.008589,1.329279
68,0.272000,-0.001849,0.008585,1.329256
69,0.276000,-0.001818,0.008626,1.329275
70,0.280000,-0.001849,0.008610,1.329285
71,0.284000,-0.001824,0.008640,1.329289
72,0.288000,-0.001835,0.008637,1.329287
73,0.292000,-0.001796,0.008649,1.329281
74,0.296000,-0.001857,0.008592,1.329258
75,0.300000,-0.001841,0.008607,1.329270
76,0.304000,-0.001825,0.008605,1.329261
77,0.308000,-0.001847,0.008595,1.329277
78,0.312000,-0.001840,0.008603,1.329256
79,0.316000,-0.001853,0.008576,1.329262
80,0.320000,-0.001850,0.008606,1.329273
81,0.324000,-0.001806,0.008623,1.329278
82,0.328000,-0.001854,0.008609,1.329261
83,0.332000,-0.001828,0.008639,1.329281
84,0.336000,-0.001792,0.008658,1.329285
85,0.340000,-0.001806,0.008630,1.329267
86,0.344000,-0.001815,0.008645,1.329278
87,0.348000,-0.001836,0.008605,1.329263
88,0.352000,-0.001822,0.008610,1.329250
89,0.356000,-0.001817,0.008628,1.329265
90,0.360000,-0.001844,0.008602,1.329271
91,0.364000,-0.001837,0.008608,1.329265
92,0.368000,-0.001845,0.008594,1.329255
93,0.372000,-0.001853,0.008605,1.329265
94,0.376000,-0.001854,0.008572,1.329259
95,0.380000,-0.001840,0.008604,1.329268
96,0.384000,-0.001866,0.008588,1.329247
97,0.388000,-0.001814,0.008613,1.329260
98,0.392000,-0.001814,0.008638,1.329258
99,0.396000,-0.001841,0.008595,1.329264
100,0.400000,-0.001825,0.008622,1.329266
101,0.404000,-0.001829,0.008637,1.329253
102,0.408000,-0.001813,0.008630,1.329263
103,0.412000,-0.001846,0.008607,1.329256
104,0.416000,-0.001827,0.008633,1.329264
105,0.420000,-0.001858,0.008595,1.329255
106,0.424000,-0.001805,0.008623,1.329248
107,0.428000,-0.001839,0.008612,1.329263
108,0.432000,-0.001828,0.008611,1.329266
109,0.436000,-0.001852,0.008614,1.329262
110,0.440000,-0.001858,0.008585,1.329254
111,0.444000,-0.001864,0.008586,1.329250
112,0.448000,-0.001850,0.008591,1.329256
113,0.452000,-0.001842,0.008614,1.329255
114,0.456000,-0.001860,0.008611,1.329248
115,0.460000,-0.001813,0.008628,1.329253
116,0.464000,-0.001849,0.008608,1.329247
117,0.468000,-0.001826,0.008617,1.329261
118,0.472000,-0.001853,0.008616,1.329265
119,0.476000,-0.001822,0.008628,1.329267
120,0.480000,-0.001849,0.008606,1.329250
121,0.484000,-0.001842,0.008605,1.329262
122,0.488000,-0.001851,0.008599,1.329241
123,0.492000,-0.001850,0.008593,1.329252
124,0.496000,-0.001846,0.008599,1.329251
125,0.500000,-0.001855,0.008590,1.329250
126,0.504000,-0.001819,0.008637,1.329248
127,0.508000,-0.001829,0.008619,1.329259
128,0.512000,-0.001835,0.008615,1.329263
129,0.516000,-0.001831,0.008631,1.329263
130,0.520000,-0.001828,0.008606,1.329254
131,0.524000,-0.001825,0.008628,1.329262
132,0.528000,-0.001861,0.008595,1.329258
133,0.532000,-0.001836,0.008617,1.329265
134,0.536000,-0.001817,0.008624,1.329249
135,0.540000,-0.001843,0.008613,1.329261
