Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 10.54.42.556 AM,Total Frames in Take,868,Total Exported Frames,868,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004
,ID,"C3B20","C3B20","C3B20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
128,0.512000,-0.003206,0.006884,1.441349
129,0.516000,-0.003190,0.006920,1.441352
130,0.520000,-0.003236,0.006865,1.441327
131,0.524000,-0.003223,0.006871,1.441335
132,0.528000,-0.003208,0.006893,1.441352
133,0.532000,-0.003222,0.006875,1.441354
134,0.536000,-0.003241,0.006864,1.441349
135,0.540000,-0.003210,0.006880,1.441348
136,0.544000,-0.003200,0.006902,1.441356
137,0.548000,-0.003193,0.006898,1.441344
138,0.552000,-0.003199,0.006898,1.441363
139,0.556000,-0.003220,0.006881,1.441351
140,0.560000,-0.003222,0.006873,1.441355
141,0.564000,-0.003221,0.006871,1.441349
142,0.568000,-0.003222,0.006864,1.441344
143,0.572000,-0.003208,0.006883,1.441372
144,0.576000,-0.003207,0.006889,1.441353
145,0.580000,-0.003210,0.006875,1.441337
146,0.584000,-0.003223,0.006864,1.441355
147,0.588000,-0.003213,0.006891,1.441351
148,0.592000,-0.003232,0.006887,1.441352
149,0.596000,-0.003226,0.006876,1.441338
150,0.600000,-0.003214,0.006889,1.441353
151,0.604000,-0.003232,0.006870,1.441354
152,0.608000,-0.003210,0.006888,1.441351
153,0.612000,-0.003204,0.006885,1.441353
154,0.616000,-0.003188,0.006896,1.441356
155,0.620000,-0.003237,0.006847,1.441346
156,0.624000,-0.003182,0.006905,1.441360
157,0.628000,-0.003240,0.006862,1.441342
158,0.632000,-0.003240,0.006859,1.441349
159,0.636000,-0.003262,0.006840,1.441344
160,0.640000,-0.003227,0.006856,1.441335
161,0.644000,-0.003226,0.006847,1.441340
162,0.648000,-0.003213,0.006895,1.441337
163,0.652000,-0.003244,0.006852,1.441359
164,0.656000,-0.003216,0.006873,1.441344
165,0.660000,-0.003210,0.006887,1.441362
166,0.664000,-0.003201,0.006882,1.441358
167,0.668000,-0.003208,0.006888,1.441338
168,0.672000,-0.003226,0.006871,1.441346
169,0.676000,-0.003222,0.006875,1.441349
170,0.680000,-0.003219,0.006879,1.441370
171,0.684000,-0.003202,0.006892,1.441350
172,0.688000,-0.003235,0.006872,1.441343
173,0.692000,-0.003212,0.006899,1.441338
174,0.696000,-0.003225,0.006885,1.441339
175,0.700000,-0.003190,0.006896,1.441353
176,0.704000,-0.003235,0.006875,1.441348
177,0.708000,-0.003209,0.006896,1.441371
178,0.712000,-0.003240,0.006857,1.441353
179,0.716000,-0.003227,0.006867,1.441355
180,0.720000,-0.003266,0.006823,1.441331
181,0.724000,-0.003237,0.006858,1.441365
182,0.728000,-0.003233,0.006863,1.441351
183,0.732000,-0.003215,0.006901,1.441365
184,0.736000,-0.003200,0.006907,1.441333
185,0.740000,-0.003224,0.006867,1.441347
186,0.744000,-0.003223,0.006884,1.441345
187,0.748000,-0.003173,0.006908,1.441364
188,0.752000,-0.003191,0.006907,1.441366
189,0.756000,-0.003219,0.006879,1.441350
190,0.760000,-0.003213,0.006882,1.441347
191,0.764000,-0.003184,0.006909,1.441356
192,0.768000,-0.003247,0.006851,1.441344
193,0.772000,-0.003215,0.006887,1.441346
194,0.776000,-0.003203,0.006893,1.441352
195,0.780000,-0.003227,0.006875,1.441359
196,0.784000,-0.003211,0.006878,1.441363
197,0.788000,-0.003206,0.006891,1.441362
