Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM_004,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 11.15.18.105 AM,Total Frames in Take,1030,Total Exported Frames,1030,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011
,ID,"C3BD0","C3BD0","C3BD0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,0.000060,0.000050,1.333302
1,0.004000,0.000072,0.000060,1.333296
2,0.008000,0.000050,0.000044,1.333287
3,0.012000,0.000082,0.000063,1.333295
4,0.016000,0.000079,0.000074,1.333288
5,0.020000,0.000083,0.000077,1.333300
6,0.024000,0.000059,0.000042,1.333290
7,0.028000,0.000077,0.000061,1.333294
8,0.032000,0.000058,0.000023,1.333308
9,0.036000,0.000043,0.000022,1.333278
10,0.040000,0.000057,0.000056,1.333281
11,0.044000,0.000055,0.000034,1.333272
12,0.048000,0.000074,0.000045,1.333295
13,0.052000,0.000060,0.000047,1.333300
14,0.056000,0.000068,0.000033,1.333290
15,0.060000,0.000100,0.000089,1.333302
16,0.064000,0.000074,0.000056,1.333280
17,0.068000,0.000071,0.000059,1.333309
18,0.072000,0.000069,0.000066,1.333291
19,0.076000,0.000084,0.000067,1.333286
20,0.080000,0.000070,0.000037,1.333300
21,0.084000,0.000070,0.000022,1.333291
22,0.088000,0.000099,0.000080,1.333285
23,0.092000,0.000090,0.000070,1.333288
24,0.096000,0.000094,0.000074,1.333301
25,0.100000,0.000089,0.000059,1.333294
26,0.104000,0.000084,0.000071,1.333304
27,0.108000,0.000063,0.000036,1.333298
28,0.112000,0.000064,0.000046,1.333294
29,0.116000,0.000048,0.000011,1.333277
30,0.120000,0.000039,0.000008,1.333283
31,0.124000,0.000090,0.000045,1.333289
32,0.128000,0.000092,0.000084,1.333295
33,0.132000,0.000058,0.000031,1.333284
34,0.136000,0.000095,0.000081,1.333285
35,0.140000,0.000120,0.000085,1.333294
36,0.144000,0.000086,0.000089,1.333292
37,0.148000,0.000090,0.000053,1.333279
38,0.152000,0.000113,0.000077,1.333285
39,0.156000,0.000067,0.000034,1.333290
40,0.160000,0.000081,0.000038,1.333279
41,0.164000,0.000044,0.000013,1.333287
42,0.168000,0.000062,0.000032,1.333292
43,0.172000,0.000083,0.000047,1.333297
44,0.176000,0.000099,0.000065,1.333272
