Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM_003,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 11.08.57.849 AM,Total Frames in Take,962,Total Exported Frames,962,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009
,ID,"C3B50","C3B50","C3B50"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
133,0.532000,0.000063,0.000154,1.329271
134,0.536000,0.000065,0.000161,1.329294
135,0.540000,0.000089,0.000189,1.329269
136,0.544000,0.000036,0.000138,1.329283
137,0.548000,0.000037,0.000138,1.329286
138,0.552000,0.000055,0.000135,1.329285
139,0.556000,0.000026,0.000119,1.329270
140,0.560000,0.000048,0.000153,1.329284
141,0.564000,0.000091,0.000184,1.329283
142,0.568000,0.000038,0.000156,1.329279
143,0.572000,0.000067,0.000178,1.329270
144,0.576000,0.000059,0.000183,1.329267
145,0.580000,0.000033,0.000145,1.329297
146,0.584000,0.000059,0.000149,1.329284
147,0.588000,0.000060,0.000141,1.329286
148,0.592000,0.000054,0.000135,1.329286
149,0.596000,0.000068,0.000150,1.329274
150,0.600000,0.000055,0.000132,1.329286
151,0.604000,0.000041,0.000121,1.329285
152,0.608000,0.000076,0.000183,1.329280
153,0.612000,0.000070,0.000172,1.329289
154,0.616000,0.000072,0.000168,1.329290
155,0.620000,0.000080,0.000170,1.329265
156,0.624000,0.000068,0.000162,1.329294
157,0.628000,0.000095,0.000192,1.329281
158,0.632000,0.000084,0.000174,1.329298
159,0.636000,0.000060,0.000151,1.329283
160,0.640000,0.000067,0.000168,1.329291
161,0.644000,0.000057,0.000171,1.329296
162,0.648000,0.000095,0.000204,1.329296
163,0.652000,0.000085,0.000180,1.329286
164,0.656000,0.000054,0.000149,1.329300
165,0.660000,0.000066,0.000150,1.329283
166,0.664000,0.000049,0.000133,1.329266
167,0.668000,0.000083,0.000151,1.329276
168,0.672000,0.000057,0.000147,1.329276
169,0.676000,0.000064,0.000141,1.329283
170,0.680000,0.000081,0.000173,1.329289
171,0.684000,0.000083,0.000181,1.329273
172,0.688000,0.000095,0.000190,1.329287
173,0.692000,0.000087,0.000178,1.329274
174,0.696000,0.000092,0.000198,1.329292
175,0.700000,0.000088,0.000175,1.329295
176,0.704000,0.000084,0.000171,1.329289
177,0.708000,0.000085,0.000161,1.329293
178,0.712000,0.000060,0.000137,1.329310
179,0.716000,0.000052,0.000148,1.329285
180,0.720000,0.000036,0.000135,1.329302
181,0.724000,0.000092,0.000185,1.329308
182,0.728000,0.000080,0.000159,1.329290
183,0.732000,0.000096,0.000182,1.329299
184,0.736000,0.000121,0.000215,1.329280
185,0.740000,0.000100,0.000181,1.329294
186,0.744000,0.000077,0.000171,1.329288
187,0.748000,0.000079,0.000160,1.329284
188,0.752000,0.000074,0.000167,1.329282
189,0.756000,0.000097,0.000192,1.329289
190,0.760000,0.000069,0.000161,1.329293
191,0.764000,0.000103,0.000181,1.329286
192,0.768000,0.000078,0.000174,1.329284
193,0.772000,0.000066,0.000169,1.329297
194,0.776000,0.000056,0.000144,1.329293
195,0.780000,0.000085,0.000162,1.329283
196,0.784000,0.000062,0.000140,1.329282
197,0.788000,0.000071,0.000145,1.329288
198,0.792000,0.000073,0.000156,1.329281
199,0.796000,0.000073,0.000166,1.329286
200,0.800000,0.000074,0.000187,1.329301
201,0.804000,0.000106,0.000213,1.329285
202,0.808000,0.000074,0.000166,1.329292
203,0.812000,0.000072,0.000160,1.329286
204,0.816000,0.000093,0.000192,1.329279
205,0.820000,0.000060,0.000148,1.329280
206,0.824000,0.000063,0.000159,1.329297
207,0.828000,0.000042,0.000152,1.329285
208,0.832000,0.000049,0.000141,1.329270
209,0.836000,0.000058,0.000159,1.329281
210,0.840000,0.000063,0.000153,1.329274
211,0.844000,0.000056,0.000165,1.329276
212,0.848000,0.000068,0.000168,1.329285
213,0.852000,0.000030,0.000135,1.329294
214,0.856000,0.000079,0.000185,1.329282
215,0.860000,0.000069,0.000185,1.329280
216,0.864000,0.000058,0.000163,1.329291
217,0.868000,0.000069,0.000169,1.329285
218,0.872000,0.000078,0.000178,1.329294
219,0.876000,0.000080,0.000168,1.329281
220,0.880000,0.000052,0.000160,1.329287
221,0.884000,0.000072,0.000172,1.329280
222,0.888000,0.000078,0.000168,1.329285
223,0.892000,0.000073,0.000171,1.329285
224,0.896000,0.000054,0.000140,1.329279
225,0.900000,0.000049,0.000139,1.329278
226,0.904000,0.000037,0.000143,1.329288
227,0.908000,0.000023,0.000127,1.329275
228,0.912000,0.000063,0.000171,1.329277
229,0.916000,0.000063,0.000173,1.329282
230,0.920000,0.000061,0.000176,1.329265
231,0.924000,0.000080,0.000179,1.329276
232,0.928000,0.000051,0.000169,1.329307
233,0.932000,0.000082,0.000203,1.329287
234,0.936000,0.000087,0.000186,1.329273
235,0.940000,0.000055,0.000153,1.329292
236,0.944000,0.000020,0.000133,1.329266
237,0.948000,0.000012,0.000102,1.329280
238,0.952000,0.000081,0.000160,1.329285
239,0.956000,0.000029,0.000135,1.329288
240,0.960000,0.000049,0.000164,1.329288
241,0.964000,0.000070,0.000161,1.329285
242,0.968000,0.000072,0.000190,1.329273
243,0.972000,0.000058,0.000160,1.329271
244,0.976000,0.000056,0.000152,1.329272
245,0.980000,0.000046,0.000156,1.329265
246,0.984000,0.000041,0.000147,1.329273
247,0.988000,0.000034,0.000145,1.329270
248,0.992000,0.000056,0.000167,1.329272
249,0.996000,0.000054,0.000152,1.329268
250,1.000000,0.000048,0.000156,1.329281
251,1.004000,0.000061,0.000170,1.329283
252,1.008000,0.000037,0.000156,1.329271
253,1.012000,0.000047,0.000148,1.329266
254,1.016000,0.000032,0.000147,1.329282
255,1.020000,0.000030,0.000132,1.329276
256,1.024000,0.000078,0.000167,1.329260
257,1.028000,0.000043,0.000138,1.329273
258,1.032000,0.000051,0.000145,1.329258
259,1.036000,0.000049,0.000146,1.329273
260,1.040000,0.000080,0.000195,1.329279
261,1.044000,0.000094,0.000197,1.329286
262,1.048000,0.000100,0.000199,1.329277
263,1.052000,0.000067,0.000158,1.329270
264,1.056000,0.000086,0.000181,1.329279
265,1.060000,0.000035,0.000127,1.329278
266,1.064000,0.000065,0.000157,1.329271
267,1.068000,0.000046,0.000129,1.329267
268,1.072000,0.000041,0.000123,1.329266
269,1.076000,0.000051,0.000139,1.329254
270,1.080000,0.000063,0.000147,1.329272
271,1.084000,0.000089,0.000171,1.329291
272,1.088000,0.000043,0.000135,1.329267
273,1.092000,0.000042,0.000139,1.329273
274,1.096000,0.000060,0.000165,1.329263
275,1.100000,0.000084,0.000184,1.329287
276,1.104000,0.000061,0.000168,1.329255
277,1.108000,0.000078,0.000161,1.329273
278,1.112000,0.000061,0.000166,1.329275
279,1.116000,0.000045,0.000152,1.329286
280,1.120000,0.000072,0.000163,1.329275
281,1.124000,0.000058,0.000148,1.329281
282,1.128000,0.000074,0.000170,1.329276
283,1.132000,0.000086,0.000177,1.329277
284,1.136000,0.000083,0.000161,1.329277
285,1.140000,0.000048,0.000129,1.329270
286,1.144000,0.000066,0.000145,1.329278
287,1.148000,0.000082,0.000142,1.329274
288,1.152000,0.000070,0.000153,1.329278
289,1.156000,0.000033,0.000136,1.329289
290,1.160000,0.000072,0.000179,1.329280
291,1.164000,0.000070,0.000166,1.329287
292,1.168000,0.000100,0.000193,1.329298
293,1.172000,0.000073,0.000175,1.329280
294,1.176000,0.000088,0.000179,1.329281
295,1.180000,0.000068,0.000171,1.329286
296,1.184000,0.000069,0.000159,1.329288
297,1.188000,0.000070,0.000159,1.329274
298,1.192000,0.000057,0.000122,1.329277
299,1.196000,0.000087,0.000181,1.329285
300,1.200000,0.000080,0.000161,1.329281
301,1.204000,0.000065,0.000167,1.329288
302,1.208000,0.000092,0.000192,1.329277
303,1.212000,0.000089,0.000178,1.329277
304,1.216000,0.000082,0.000170,1.329274
305,1.220000,0.000055,0.000144,1.329278
306,1.224000,0.000059,0.000140,1.329290
307,1.228000,0.000074,0.000163,1.329275
308,1.232000,0.000107,0.000186,1.329282
309,1.236000,0.000087,0.000193,1.329286
310,1.240000,0.000065,0.000141,1.329280
311,1.244000,0.000061,0.000169,1.329287
312,1.248000,0.000083,0.000177,1.329299
313,1.252000,0.000115,0.000204,1.329283
314,1.256000,0.000079,0.000156,1.329282
315,1.260000,0.000041,0.000123,1.329274
316,1.264000,0.000044,0.000135,1.329286
317,1.268000,0.000083,0.000161,1.329294
318,1.272000,0.000087,0.000170,1.329290
319,1.276000,0.000082,0.000168,1.329284
320,1.280000,0.000080,0.000169,1.329281
321,1.284000,0.000080,0.000179,1.329288
322,1.288000,0.000065,0.000160,1.329272
323,1.292000,0.000106,0.000197,1.329292
324,1.296000,0.000125,0.000223,1.329297
325,1.300000,0.000079,0.000167,1.329284
326,1.304000,0.000072,0.000166,1.329293
327,1.308000,0.000082,0.000172,1.329284
328,1.312000,0.000086,0.000165,1.329283
329,1.316000,0.000079,0.000154,1.329287
330,1.320000,0.000076,0.000172,1.329287
331,1.324000,0.000086,0.000164,1.329265
332,1.328000,0.000068,0.000161,1.329280
333,1.332000,0.000077,0.000175,1.329287
334,1.336000,0.000060,0.000167,1.329292
335,1.340000,0.000037,0.000140,1.329263
336,1.344000,0.000065,0.000160,1.329274
337,1.348000,0.000064,0.000169,1.329257
338,1.352000,0.000059,0.000155,1.329276
339,1.356000,0.000091,0.000183,1.329286
340,1.360000,0.000053,0.000182,1.329275
341,1.364000,0.000084,0.000196,1.329282
342,1.368000,0.000079,0.000179,1.329283
343,1.372000,0.000075,0.000190,1.329267
344,1.376000,0.000067,0.000149,1.329268
345,1.380000,0.000046,0.000169,1.329276
346,1.384000,0.000064,0.000144,1.329257
347,1.388000,0.000064,0.000160,1.329264
348,1.392000,0.000058,0.000159,1.329280
349,1.396000,0.000036,0.000129,1.329274
350,1.400000,0.000045,0.000150,1.329281
351,1.404000,0.000065,0.000166,1.329278
352,1.408000,0.000080,0.000186,1.329279
353,1.412000,0.000066,0.000174,1.329277
354,1.416000,0.000068,0.000213,1.329280
355,1.420000,0.000058,0.000169,1.329273
356,1.424000,0.000077,0.000175,1.329273
357,1.428000,0.000041,0.000150,1.329275
358,1.432000,0.000050,0.000149,1.329275
359,1.436000,0.000076,0.000166,1.329263
360,1.440000,0.000052,0.000164,1.329267
361,1.444000,0.000073,0.000196,1.329271
362,1.448000,0.000088,0.000193,1.329264
363,1.452000,0.000088,0.000196,1.329260
364,1.456000,0.000066,0.000176,1.329278
365,1.460000,0.000044,0.000150,1.329273
366,1.464000,0.000062,0.000154,1.329260
367,1.468000,0.000039,0.000136,1.329257
368,1.472000,0.000045,0.000131,1.329262
369,1.476000,0.000053,0.000149,1.329266
370,1.480000,0.000071,0.000186,1.329278
371,1.484000,0.000064,0.000199,1.329287
372,1.488000,0.000046,0.000156,1.329276
373,1.492000,0.000059,0.000178,1.329280
374,1.496000,0.000068,0.000183,1.329291
375,1.500000,0.000080,0.000178,1.329269
376,1.504000,0.000070,0.000187,1.329267
377,1.508000,0.000071,0.000170,1.329266
378,1.512000,0.000036,0.000159,1.329276
379,1.516000,0.000061,0.000153,1.329282
380,1.520000,0.000041,0.000149,1.329265
381,1.524000,0.000049,0.000144,1.329272
382,1.528000,0.000090,0.000194,1.329275
383,1.532000,0.000046,0.000155,1.329281
384,1.536000,0.000042,0.000142,1.329272
385,1.540000,0.000066,0.000170,1.329273
386,1.544000,0.000050,0.000159,1.329281
387,1.548000,0.000058,0.000150,1.329277
388,1.552000,0.000076,0.000172,1.329289
389,1.556000,0.000045,0.000137,1.329276
390,1.560000,0.000074,0.000181,1.329282
391,1.564000,0.000062,0.000175,1.329289
392,1.568000,0.000079,0.000172,1.329293
