Format Version,1.23,Take Name,Take 2020-10-13 01.30.33 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-10-13 01.30.34.331 PM,Total Frames in Take,5923,Total Exported Frames,5923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000
,ID,"C3530","C3530","C3530"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
294,0.816667,,,
295,0.819444,,,
296,0.822222,,,
297,0.825000,,,
298,0.827778,,,
299,0.830556,,,
300,0.833333,,,
301,0.836111,,,
302,0.838889,,,
303,0.841667,,,
304,0.844444,,,
305,0.847222,,,
306,0.850000,,,
307,0.852778,,,
308,0.855556,,,
309,0.858333,,,
310,0.861111,,,
311,0.863889,,,
312,0.866667,,,
313,0.869444,,,
314,0.872222,,,
315,0.875000,,,
316,0.877778,,,
317,0.880556,,,
318,0.883333,,,
319,0.886111,,,
320,0.888889,,,
321,0.891667,,,
322,0.894444,,,
323,0.897222,,,
324,0.900000,,,
325,0.902778,,,
326,0.905556,,,
327,0.908333,,,
328,0.911111,,,
329,0.913889,,,
330,0.916667,,,
331,0.919444,,,
332,0.922222,,,
333,0.925000,,,
334,0.927778,,,
335,0.930556,,,
336,0.933333,,,
337,0.936111,,,
338,0.938889,,,
339,0.941667,,,
340,0.944444,,,
341,0.947222,,,
342,0.950000,,,
343,0.952778,,,
344,0.955556,,,
345,0.958333,,,
346,0.961111,,,
347,0.963889,,,
348,0.966667,,,
349,0.969444,,,
350,0.972222,,,
351,0.975000,,,
352,0.977778,,,
353,0.980556,,,
354,0.983333,,,
355,0.986111,,,
356,0.988889,,,
357,0.991667,,,
358,0.994444,,,
359,0.997222,,,
360,1.000000,,,
361,1.002778,,,
362,1.005556,,,
363,1.008333,,,
364,1.011111,,,
365,1.013889,,,
366,1.016667,,,
367,1.019444,,,
368,1.022222,,,
369,1.025000,,,
370,1.027778,,,
371,1.030556,,,
372,1.033333,,,
373,1.036111,,,
374,1.038889,,,
375,1.041667,,,
376,1.044444,,,
377,1.047222,,,
378,1.050000,,,
379,1.052778,,,
380,1.055556,,,
381,1.058333,,,
382,1.061111,,,
383,1.063889,,,
384,1.066667,,,
385,1.069444,,,
386,1.072222,,,
387,1.075000,,,
388,1.077778,,,
389,1.080556,,,
390,1.083333,,,
391,1.086111,,,
392,1.088889,,,
393,1.091667,,,
394,1.094444,,,
395,1.097222,,,
396,1.100000,,,
397,1.102778,,,
398,1.105556,,,
399,1.108333,,,
400,1.111111,,,
401,1.113889,,,
402,1.116667,,,
403,1.119444,,,
404,1.122222,,,
405,1.125000,,,
406,1.127778,,,
407,1.130556,,,
408,1.133333,,,
409,1.136111,,,
410,1.138889,,,
411,1.141667,,,
412,1.144444,,,
413,1.147222,,,
414,1.150000,,,
415,1.152778,,,
416,1.155556,,,
417,1.158333,,,
418,1.161111,,,
419,1.163889,,,
420,1.166667,,,
421,1.169444,,,
422,1.172222,,,
423,1.175000,,,
424,1.177778,,,
425,1.180556,,,
426,1.183333,,,
427,1.186111,,,
428,1.188889,,,
429,1.191667,,,
430,1.194444,,,
431,1.197222,,,
432,1.200000,,,
433,1.202778,,,
434,1.205556,,,
435,1.208333,,,
436,1.211111,,,
437,1.213889,,,
438,1.216667,,,
439,1.219444,,,
440,1.222222,,,
441,1.225000,,,
442,1.227778,,,
443,1.230556,,,
444,1.233333,,,
445,1.236111,,,
446,1.238889,,,
447,1.241667,,,
448,1.244444,,,
449,1.247222,,,
450,1.250000,,,
451,1.252778,,,
452,1.255556,,,
453,1.258333,,,
454,1.261111,,,
455,1.263889,,,
456,1.266667,,,
457,1.269444,,,
458,1.272222,,,
459,1.275000,,,
460,1.277778,,,
461,1.280556,,,
462,1.283333,,,
463,1.286111,,,
464,1.288889,,,
465,1.291667,,,
466,1.294444,,,
467,1.297222,,,
468,1.300000,,,
469,1.302778,,,
470,1.305556,,,
471,1.308333,,,
472,1.311111,,,
473,1.313889,,,
474,1.316667,,,
475,1.319444,,,
476,1.322222,,,
477,1.325000,,,
478,1.327778,,,
479,1.330556,,,
480,1.333333,,,
481,1.336111,,,
482,1.338889,,,
483,1.341667,,,
484,1.344444,,,
485,1.347222,,,
486,1.350000,,,
487,1.352778,,,
488,1.355556,,,
489,1.358333,,,
490,1.361111,,,
491,1.363889,,,
492,1.366667,,,
493,1.369444,,,
494,1.372222,,,
495,1.375000,,,
496,1.377778,,,
497,1.380556,,,
498,1.383333,,,
499,1.386111,,,
500,1.388889,,,
501,1.391667,,,
502,1.394444,,,
503,1.397222,,,
504,1.400000,,,
505,1.402778,,,
506,1.405556,,,
507,1.408333,,,
508,1.411111,,,
509,1.413889,,,
510,1.416667,,,
511,1.419444,,,
512,1.422222,,,
513,1.425000,,,
514,1.427778,,,
515,1.430556,,,
516,1.433333,,,
517,1.436111,,,
518,1.438889,,,
519,1.441667,,,
520,1.444444,,,
521,1.447222,,,
522,1.450000,,,
523,1.452778,,,
524,1.455556,,,
525,1.458333,,,
526,1.461111,,,
527,1.463889,,,
528,1.466667,,,
529,1.469444,,,
530,1.472222,,,
531,1.475000,,,
532,1.477778,,,
533,1.480556,,,
534,1.483333,,,
535,1.486111,,,
536,1.488889,,,
537,1.491667,,,
538,1.494444,,,
539,1.497222,,,
540,1.500000,,,
541,1.502778,,,
542,1.505556,,,
543,1.508333,,,
544,1.511111,,,
545,1.513889,,,
546,1.516667,,,
547,1.519444,,,
548,1.522222,,,
549,1.525000,,,
550,1.527778,,,
551,1.530556,,,
552,1.533333,,,
553,1.536111,,,
554,1.538889,,,
555,1.541667,,,
556,1.544444,,,
557,1.547222,,,
558,1.550000,,,
559,1.552778,,,
560,1.555556,,,
561,1.558333,,,
562,1.561111,,,
563,1.563889,,,
564,1.566667,,,
565,1.569444,,,
566,1.572222,,,
567,1.575000,,,
568,1.577778,,,
569,1.580556,,,
570,1.583333,,,
571,1.586111,,,
572,1.588889,,,
573,1.591667,,,
574,1.594444,,,
575,1.597222,,,
576,1.600000,,,
577,1.602778,,,
578,1.605556,,,
579,1.608333,,,
580,1.611111,,,
581,1.613889,,,
582,1.616667,,,
583,1.619444,,,
584,1.622222,,,
585,1.625000,,,
586,1.627778,,,
587,1.630556,,,
588,1.633333,,,
589,1.636111,,,
590,1.638889,,,
591,1.641667,,,
592,1.644444,,,
593,1.647222,,,
594,1.650000,,,
595,1.652778,,,
596,1.655556,,,
597,1.658333,,,
598,1.661111,,,
599,1.663889,,,
600,1.666667,,,
601,1.669444,,,
602,1.672222,,,
603,1.675000,,,
604,1.677778,,,
605,1.680556,,,
606,1.683333,,,
607,1.686111,,,
608,1.688889,,,
609,1.691667,,,
610,1.694444,,,
611,1.697222,,,
612,1.700000,,,
613,1.702778,,,
614,1.705556,,,
615,1.708333,,,
616,1.711111,,,
617,1.713889,,,
618,1.716667,,,
619,1.719444,,,
620,1.722222,,,
621,1.725000,,,
622,1.727778,,,
623,1.730556,,,
624,1.733333,,,
625,1.736111,,,
626,1.738889,,,
627,1.741667,,,
628,1.744444,,,
629,1.747222,,,
630,1.750000,,,
631,1.752778,,,
632,1.755556,,,
633,1.758333,,,
634,1.761111,,,
635,1.763889,,,
636,1.766667,,,
637,1.769444,,,
638,1.772222,,,
639,1.775000,,,
640,1.777778,,,
641,1.780556,,,
642,1.783333,,,
643,1.786111,,,
644,1.788889,,,
645,1.791667,,,
646,1.794444,,,
647,1.797222,,,
648,1.800000,,,
649,1.802778,,,
650,1.805556,,,
651,1.808333,,,
652,1.811111,,,
653,1.813889,,,
654,1.816667,,,
655,1.819444,,,
656,1.822222,,,
657,1.825000,,,
658,1.827778,,,
659,1.830556,,,
660,1.833333,,,
661,1.836111,,,
662,1.838889,,,
663,1.841667,,,
664,1.844444,,,
665,1.847222,,,
666,1.850000,,,
667,1.852778,,,
668,1.855556,,,
669,1.858333,,,
670,1.861111,,,
671,1.863889,,,
672,1.866667,,,
673,1.869444,,,
674,1.872222,,,
675,1.875000,,,
676,1.877778,,,
677,1.880556,,,
678,1.883333,,,
679,1.886111,,,
680,1.888889,,,
681,1.891667,,,
682,1.894444,,,
683,1.897222,,,
684,1.900000,,,
685,1.902778,,,
686,1.905556,,,
687,1.908333,,,
688,1.911111,,,
689,1.913889,,,
690,1.916667,,,
691,1.919444,,,
692,1.922222,,,
693,1.925000,,,
694,1.927778,,,
695,1.930556,,,
696,1.933333,,,
697,1.936111,,,
698,1.938889,,,
699,1.941667,,,
700,1.944444,,,
701,1.947222,,,
702,1.950000,,,
703,1.952778,,,
704,1.955556,,,
705,1.958333,,,
706,1.961111,,,
707,1.963889,,,
708,1.966667,,,
709,1.969444,,,
710,1.972222,,,
711,1.975000,,,
712,1.977778,,,
713,1.980556,,,
714,1.983333,,,
715,1.986111,,,
716,1.988889,,,
717,1.991667,,,
718,1.994444,,,
719,1.997222,,,
720,2.000000,,,
721,2.002778,,,
722,2.005556,,,
723,2.008333,,,
724,2.011111,,,
725,2.013889,,,
726,2.016667,,,
727,2.019444,,,
728,2.022222,,,
729,2.025000,,,
730,2.027778,,,
731,2.030556,,,
732,2.033333,,,
733,2.036111,,,
734,2.038889,,,
735,2.041667,,,
736,2.044444,,,
737,2.047222,,,
738,2.050000,,,
739,2.052778,,,
740,2.055556,,,
741,2.058333,,,
742,2.061111,,,
743,2.063889,,,
744,2.066667,,,
745,2.069444,,,
746,2.072222,,,
747,2.075000,,,
748,2.077778,,,
749,2.080556,,,
750,2.083333,,,
751,2.086111,,,
752,2.088889,,,
753,2.091667,,,
754,2.094444,,,
755,2.097222,,,
756,2.100000,,,
757,2.102778,,,
758,2.105556,,,
759,2.108333,,,
760,2.111111,,,
761,2.113889,,,
762,2.116667,,,
763,2.119444,,,
764,2.122222,,,
765,2.125000,,,
766,2.127778,,,
767,2.130556,,,
768,2.133333,,,
769,2.136111,,,
770,2.138889,,,
771,2.141667,,,
772,2.144444,,,
773,2.147222,,,
774,2.150000,,,
775,2.152778,,,
776,2.155556,,,
777,2.158333,,,
778,2.161111,,,
779,2.163889,,,
780,2.166667,,,
781,2.169444,,,
782,2.172222,,,
783,2.175000,,,
784,2.177778,,,
785,2.180556,,,
786,2.183333,,,
787,2.186111,,,
788,2.188889,,,
789,2.191667,,,
790,2.194444,,,
791,2.197222,,,
792,2.200000,,,
793,2.202778,,,
794,2.205556,,,
795,2.208333,,,
796,2.211111,,,
797,2.213889,,,
798,2.216667,,,
799,2.219444,,,
800,2.222222,,,
801,2.225000,,,
802,2.227778,,,
803,2.230556,,,
804,2.233333,,,
805,2.236111,,,
806,2.238889,,,
807,2.241667,,,
808,2.244444,,,
809,2.247222,,,
810,2.250000,,,
811,2.252778,,,
812,2.255556,,,
813,2.258333,,,
814,2.261111,,,
815,2.263889,,,
816,2.266667,,,
817,2.269444,,,
818,2.272222,,,
819,2.275000,,,
820,2.277778,,,
821,2.280556,,,
822,2.283333,,,
823,2.286111,,,
824,2.288889,,,
825,2.291667,,,
826,2.294444,,,
827,2.297222,,,
828,2.300000,,,
829,2.302778,,,
830,2.305556,,,
831,2.308333,,,
832,2.311111,,,
833,2.313889,,,
834,2.316667,,,
835,2.319444,,,
836,2.322222,,,
837,2.325000,,,
